,word,segmentation,morph_structure
7828,gbasaara,gba + sa + a + ra,"[['gb', 'a'], ['s', 'a'], ['a'], ['r', 'a']]"
7829,gbasachara,gba + sa + cha + ra,"[['gb', 'a'], ['s', 'a'], ['ch', 'a'], ['r', 'a']]"
7830,gbasaghị,gba + sa + ghị,"[['gb', 'a'], ['s', 'a'], ['gh', 'ị']]"
7831,gbasahaala,gba + sa + ha + a + la,"[['gb', 'a'], ['s', 'a'], ['h', 'a'], ['a'], ['l', 'a']]"
7832,gbasakwara,gba + sa + kwa + ra,"[['gb', 'a'], ['s', 'a'], ['kw', 'a'], ['r', 'a']]"
7833,gbasapụrụ,gba + sa + pụ + rụ,"[['gb', 'a'], ['s', 'a'], ['p', 'ụ'], ['r', 'ụ']]"
7834,gbasara,gba + sa + ra,"[['gb', 'a'], ['s', 'a'], ['r', 'a']]"
7835,gbasasiri,gba + sa + si + ri,"[['gb', 'a'], ['s', 'a'], ['s', 'i'], ['r', 'i']]"
7836,gbasasiwa,gba + sa + si + wa,"[['gb', 'a'], ['s', 'a'], ['s', 'i'], ['w', 'a']]"
7837,gbasatara,gba + sa + ta + ra,"[['gb', 'a'], ['s', 'a'], ['t', 'a'], ['r', 'a']]"
7838,gbasawa,gba + sa + wa,"[['gb', 'a'], ['s', 'a'], ['w', 'a']]"
7839,gbasawanye,gba + sa + wa + nye,"[['gb', 'a'], ['s', 'a'], ['w', 'a'], ['ny', 'e']]"
7840,gbasie,gba + si + e,"[['gb', 'a'], ['s', 'i'], ['e']]"
7841,gbasiri,gba + si + ri,"[['gb', 'a'], ['s', 'i'], ['r', 'i']]"
7842,gbasiwe,gba + si + we,"[['gb', 'a'], ['s', 'i'], ['w', 'e']]"
7843,gbaso,gba + so,"[['gb', 'a'], ['s', 'o']]"
7844,gbasoghị,gba + so + ghị,"[['gb', 'a'], ['s', 'o'], ['gh', 'ị']]"
7845,gbasoo,gba + so + o,"[['gb', 'a'], ['s', 'o'], ['o']]"
7846,gbasoro,gba + so + ro,"[['gb', 'a'], ['s', 'o'], ['r', 'o']]"
7847,gbasowe,gba + so + we,"[['gb', 'a'], ['s', 'o'], ['w', 'e']]"
7848,gbasịrị,gba + sị + rị,"[['gb', 'a'], ['s', 'ị'], ['r', 'ị']]"
7849,gbata,gba + ta,"[['gb', 'a'], ['t', 'a']]"
7850,gbata-gbata,gba + ta + - + gba + ta,"[['gb', 'a'], ['t', 'a'], ['-'], ['gb', 'a'], ['t', 'a']]"
7851,gbataara,gba + ta + a + ra,"[['gb', 'a'], ['t', 'a'], ['a'], ['r', 'a']]"
7852,gbatagbata,gbatagbata,"[['gb', 'a', 't', 'a', 'gb', 'a', 't', 'a']]"
7853,gbatakwara,gba + ta + kwa + ra,"[['gb', 'a'], ['t', 'a'], ['kw', 'a'], ['r', 'a']]"
7854,gbatakwuru,gba + ta + kwu + ru,"[['gb', 'a'], ['t', 'a'], ['kw', 'u'], ['r', 'u']]"
7855,gbatakwụrụ,gba + ta + kwụ + rụ,"[['gb', 'a'], ['t', 'a'], ['kw', 'ụ'], ['r', 'ụ']]"
7856,gbatala,gba + ta + la,"[['gb', 'a'], ['t', 'a'], ['l', 'a']]"
7857,gbatanational,gbata + national,"[['gb', 'a', 't', 'a'], ['n', 'a', 't', 'i', 'o', 'n', 'a', 'l']]"
7858,gbatara,gba + ta + ra,"[['gb', 'a'], ['t', 'a'], ['r', 'a']]"
7859,gbatatụbeghị,gba + ta + tụ + be + ghị,"[['gb', 'a'], ['t', 'a'], ['t', 'ụ'], ['b', 'e'], ['gh', 'ị']]"
7860,gbatavisa,gbata + visa,"[['gb', 'a', 't', 'a'], ['v', 'i', 's', 'a']]"
7861,gbatu,gba + tu,"[['gb', 'a'], ['t', 'u']]"
7862,gbatuo,gba + tu + o,"[['gb', 'a'], ['t', 'u'], ['o']]"
7863,gbaturu,gba + tu + ru,"[['gb', 'a'], ['t', 'u'], ['r', 'u']]"
7864,gbatịa,gba + tị + a,"[['gb', 'a'], ['t', 'ị'], ['a']]"
7865,gbatịkwuo,gba + tị + kwu + o,"[['gb', 'a'], ['t', 'ị'], ['kw', 'u'], ['o']]"
7866,gbatịnyekwuo,gba + tị + nye + kwu + o,"[['gb', 'a'], ['t', 'ị'], ['ny', 'e'], ['kw', 'u'], ['o']]"
7867,gbatịrị,gba + tị + rị,"[['gb', 'a'], ['t', 'ị'], ['r', 'ị']]"
7868,gbatụrụ,gba + tụ + rụ,"[['gb', 'a'], ['t', 'ụ'], ['r', 'ụ']]"
7869,gbauru,gba + u + ru,"[['gb', 'a'], ['u'], ['r', 'u']]"
7870,gbawa,gba + wa,"[['gb', 'a'], ['w', 'a']]"
7871,gbawaa,gba + wa + a,"[['gb', 'a'], ['w', 'a'], ['a']]"
7872,gbawacha,gba + wa + cha,"[['gb', 'a'], ['w', 'a'], ['ch', 'a']]"
7873,gbawanye,gba + wa + nye,"[['gb', 'a'], ['w', 'a'], ['ny', 'e']]"
7874,gbawara,gba + wa + ra,"[['gb', 'a'], ['w', 'a'], ['r', 'a']]"
7875,gbawaziri,gba + wa + zi + ri,"[['gb', 'a'], ['w', 'a'], ['z', 'i'], ['r', 'i']]"
7876,gbawe,gba + we,"[['gb', 'a'], ['w', 'e']]"
7877,gbayụọ,gba + yụ + ọ,"[['gb', 'a'], ['y', 'ụ'], ['ọ']]"
7878,gbazee,gba + ze + e,"[['gb', 'a'], ['z', 'e'], ['e']]"
7879,gbazepụtara,gba + ze + pụ + ta + ra,"[['gb', 'a'], ['z', 'e'], ['p', 'ụ'], ['t', 'a'], ['r', 'a']]"
7880,gbazere,gba + ze + re,"[['gb', 'a'], ['z', 'e'], ['r', 'e']]"
7881,gbazi,gba + zi,"[['gb', 'a'], ['z', 'i']]"
7882,gbazie,gba + zi + e,"[['gb', 'a'], ['z', 'i'], ['e']]"
7883,gbaziiri,gba + zi + i + ri,"[['gb', 'a'], ['z', 'i'], ['i'], ['r', 'i']]"
7884,gbazinyere,gba + zi + nye + re,"[['gb', 'a'], ['z', 'i'], ['ny', 'e'], ['r', 'e']]"
7885,gbaziri,gba + zi + ri,"[['gb', 'a'], ['z', 'i'], ['r', 'i']]"
7886,gbazite,gba + zi + te,"[['gb', 'a'], ['z', 'i'], ['t', 'e']]"
7887,gbazitere,gba + zi + te + re,"[['gb', 'a'], ['z', 'i'], ['t', 'e'], ['r', 'e']]"
7888,gbazuru,gba + zu + ru,"[['gb', 'a'], ['z', 'u'], ['r', 'u']]"
7889,gbazịkwara,gba + zị + kwa + ra,"[['gb', 'a'], ['z', 'ị'], ['kw', 'a'], ['r', 'a']]"
7890,gbaọtọ,gba + ọtọ,"[['gb', 'a'], ['ọ', 't', 'ọ']]"
7891,gberegbe,gberegbe,"[['gb', 'e', 'r', 'e', 'gb', 'e']]"
7892,gbo,gbo,"[['gb', 'o']]"
7893,gbochere,gbo + che + re,"[['gb', 'o'], ['ch', 'e'], ['r', 'e']]"
7894,gbochi,gbo + chi,"[['gb', 'o'], ['ch', 'i']]"
7895,gbochie,gbo + chi + e,"[['gb', 'o'], ['ch', 'i'], ['e']]"
7896,gbochiere,gbo + chi + e + re,"[['gb', 'o'], ['ch', 'i'], ['e'], ['r', 'e']]"
7897,gbochikwa,gbo + chi + kwa,"[['gb', 'o'], ['ch', 'i'], ['kw', 'a']]"
7898,gbochilata,gbo + chi + la + ta,"[['gb', 'o'], ['ch', 'i'], ['l', 'a'], ['t', 'a']]"
7899,gbochiri,gbo + chi + ri,"[['gb', 'o'], ['ch', 'i'], ['r', 'i']]"
7900,gbochisiekwa,gbo + chi + si + e + kwa,"[['gb', 'o'], ['ch', 'i'], ['s', 'i'], ['e'], ['kw', 'a']]"
7901,gboo,gboo,"[['gb', 'o', 'o']]"
7902,gbooo,gboo + o,"[['gb', 'o', 'o'], ['o']]"
7903,gbooro,gbo + o + ro,"[['gb', 'o'], ['o'], ['r', 'o']]"
7904,gboro,gbo + ro,"[['gb', 'o'], ['r', 'o']]"
7905,gbosaa,gbo + sa + a,"[['gb', 'o'], ['s', 'a'], ['a']]"
7906,gbu,gbu,"[['gb', 'u']]"
7907,gbubeghị,gbu + be + ghị,"[['gb', 'u'], ['b', 'e'], ['gh', 'ị']]"
7908,gbubie,gbu + bi + e,"[['gb', 'u'], ['b', 'i'], ['e']]"
7909,gbubiri,gbu + bi + ri,"[['gb', 'u'], ['b', 'i'], ['r', 'i']]"
7910,gbubite,gbu + bi + te,"[['gb', 'u'], ['b', 'i'], ['t', 'e']]"
7911,gbuchaa,gbu + cha + a,"[['gb', 'u'], ['ch', 'a'], ['a']]"
7912,gbuchara,gbu + cha + ra,"[['gb', 'u'], ['ch', 'a'], ['r', 'a']]"
7913,gbuchasia,gbu + cha + si + a,"[['gb', 'u'], ['ch', 'a'], ['s', 'i'], ['a']]"
7914,gbuchasịara,gbu + cha + sị + a + ra,"[['gb', 'u'], ['ch', 'a'], ['s', 'ị'], ['a'], ['r', 'a']]"
7915,gbuchie,gbu + chi + e,"[['gb', 'u'], ['ch', 'i'], ['e']]"
7916,gbuchiri,gbu + chi + ri,"[['gb', 'u'], ['ch', 'i'], ['r', 'i']]"
7917,gbudoro,gbu + do + ro,"[['gb', 'u'], ['d', 'o'], ['r', 'o']]"
7918,gbue,gbu + e,"[['gb', 'u'], ['e']]"
7919,gbufuo,gbu + fu + o,"[['gb', 'u'], ['f', 'u'], ['o']]"
7920,gbugbu,gbugbu,"[['gb', 'u', 'gb', 'u']]"
7921,gbughị,gbu + ghị,"[['gb', 'u'], ['gh', 'ị']]"
7922,gbugoro,gbu + go + ro,"[['gb', 'u'], ['g', 'o'], ['r', 'o']]"
7923,gbujasịrị,gbu + ja + sị + rị,"[['gb', 'u'], ['j', 'a'], ['s', 'ị'], ['r', 'ị']]"
7924,gbuji,gbu + ji,"[['gb', 'u'], ['j', 'i']]"
7925,gbukasịa,gbu + ka + sị + a,"[['gb', 'u'], ['k', 'a'], ['s', 'ị'], ['a']]"
7926,gbukpọọ,gbu + kpọ + ọ,"[['gb', 'u'], ['kp', 'ọ'], ['ọ']]"
7927,gbukwaa,gbu + kwa + a,"[['gb', 'u'], ['kw', 'a'], ['a']]"
7928,gbukwara,gbu + kwa + ra,"[['gb', 'u'], ['kw', 'a'], ['r', 'a']]"
7929,gbukwee,gbu + kwe + e,"[['gb', 'u'], ['kw', 'e'], ['e']]"
7930,gbuo,gbu + o,"[['gb', 'u'], ['o']]"
7931,gbuokwa,gbu + o + kwa,"[['gb', 'u'], ['o'], ['kw', 'a']]"
7932,gbuola,gbu + o + la,"[['gb', 'u'], ['o'], ['l', 'a']]"
7933,gbuom,gbu + o + m,"[['gb', 'u'], ['o'], ['m']]"
7934,gbuona,gbu + o + na,"[['gb', 'u'], ['o'], ['n', 'a']]"
7935,gbupụ,gbu + pụ,"[['gb', 'u'], ['p', 'ụ']]"
7936,gbupụrụ,gbu + pụ + rụ,"[['gb', 'u'], ['p', 'ụ'], ['r', 'ụ']]"
7937,gburgburu,gburugburu,"[['gb', 'u', 'r', 'u', 'gb', 'u', 'r', 'u']]"
7938,gburu,gbu + ru,"[['gb', 'u'], ['r', 'u']]"
7939,gburugburu,gburugburu,"[['gb', 'u', 'r', 'u', 'gb', 'u', 'r', 'u']]"
7940,gburuguru,gburugburu,"[['gb', 'u', 'r', 'u', 'gb', 'u', 'r', 'u']]"
7941,gburula,gbu + ru + la,"[['gb', 'u'], ['r', 'u'], ['l', 'a']]"
7942,gburunu,gbu + ru + nu,"[['gb', 'u'], ['r', 'u'], ['n', 'u']]"
7943,gburịta,gbu + rị + ta,"[['gb', 'u'], ['r', 'ị'], ['t', 'a']]"
7944,gbusara,gbu + sa + ra,"[['gb', 'u'], ['s', 'a'], ['r', 'a']]"
7945,gbusiri,gbu + si + ri,"[['gb', 'u'], ['s', 'i'], ['r', 'i']]"
7946,gbute,gbu + te,"[['gb', 'u'], ['t', 'e']]"
7947,gbutechaa,gbu + te + cha + a,"[['gb', 'u'], ['t', 'e'], ['ch', 'a'], ['a']]"
7948,gbutere,gbu + te + re,"[['gb', 'u'], ['t', 'e'], ['r', 'e']]"
7949,gbutuchara,gbu + tu + cha + ra,"[['gb', 'u'], ['t', 'u'], ['ch', 'a'], ['r', 'a']]"
7950,gbutukwuo,gbu + tu + kwu + o,"[['gb', 'u'], ['t', 'u'], ['kw', 'u'], ['o']]"
7951,gbutuo,gbu + tu + o,"[['gb', 'u'], ['t', 'u'], ['o']]"
7952,gbuturu,gbu + tu + ru,"[['gb', 'u'], ['t', 'u'], ['r', 'u']]"
7953,gbutusịa,gbu + tu + sị + a,"[['gb', 'u'], ['t', 'u'], ['s', 'ị'], ['a']]"
7954,gbutọpụ,gbu + tọ + pụ,"[['gb', 'u'], ['t', 'ọ'], ['p', 'ụ']]"
7955,gbuuru,gbu + u + ru,"[['gb', 'u'], ['u'], ['r', 'u']]"
7956,gbuwara,gbu + wa + ra,"[['gb', 'u'], ['w', 'a'], ['r', 'a']]"
7957,gbuwe,gbu + we,"[['gb', 'u'], ['w', 'e']]"
7958,gbuwere,gbu + we + re,"[['gb', 'u'], ['w', 'e'], ['r', 'e']]"
7959,gbuziri,gbu + zi + ri,"[['gb', 'u'], ['z', 'i'], ['r', 'i']]"
7960,gbuzuo,gbu + zu + o,"[['gb', 'u'], ['z', 'u'], ['o']]"
7961,gbịm,gbịm,"[['gb', 'ị', 'm']]"
7962,gbọ,gbọ,"[['gb', 'ọ']]"
7963,gbọchiri,gbọ + chi + ri,"[['gb', 'ọ'], ['ch', 'i'], ['r', 'i']]"
7964,gbọjaa,gbọ + ja + a,"[['gb', 'ọ'], ['j', 'a'], ['a']]"
7965,gbọm,gbọ + m,"[['gb', 'ọ'], ['m']]"
7966,gbọnyụrụ,gbọ + nyụ + rụ,"[['gb', 'ọ'], ['ny', 'ụ'], ['r', 'ụ']]"
7967,gbọnyụọ,gbọ + nyụ + ọ,"[['gb', 'ọ'], ['ny', 'ụ'], ['ọ']]"
7968,gbọrọ,gbọ + rọ,"[['gb', 'ọ'], ['r', 'ọ']]"
7969,gbọọ,gbọ + ọ,"[['gb', 'ọ'], ['ọ']]"
7970,gbụghị,gbụ + ghị,"[['gb', 'ụ'], ['gh', 'ị']]"
7971,gbụkwa,gbụ + kwa,"[['gb', 'ụ'], ['kw', 'a']]"
7972,gbụo,gbụ + o,"[['gb', 'ụ'], ['o']]"
7973,gbụpụrụ,gbụ + pụ + rụ,"[['gb', 'ụ'], ['p', 'ụ'], ['r', 'ụ']]"
7974,gbụru,gbụ + ru,"[['gb', 'ụ'], ['r', 'u']]"
7975,gbụrụ,gbụ + rụ,"[['gb', 'ụ'], ['r', 'ụ']]"
7976,gbụrụgbụru,gbụrụgbụrụ,"[['gb', 'ụ', 'r', 'ụ', 'gb', 'ụ', 'r', 'ụ']]"
7977,gbụrụgbụrụ,gbụrụgbụrụ,"[['gb', 'ụ', 'r', 'ụ', 'gb', 'ụ', 'r', 'ụ']]"
7978,gebremichael,gebremichael,"[['g', 'e', 'b', 'r', 'e', 'm', 'i', 'ch', 'a', 'e', 'l']]"
7979,gebriel,gebriel,"[['g', 'e', 'b', 'r', 'i', 'e', 'l']]"
7980,gechie,ge + chi + e,"[['g', 'e'], ['ch', 'i'], ['e']]"
7981,gechiri,ge + chi + ri,"[['g', 'e'], ['ch', 'i'], ['r', 'i']]"
7982,gee,ge + e,"[['g', 'e'], ['e']]"
7983,geekwa,ge + e + kwa,"[['g', 'e'], ['e'], ['kw', 'a']]"
7984,geenụ,ge + e + nụ,"[['g', 'e'], ['e'], ['n', 'ụ']]"
7985,gegeregee,gegeregee,"[['g', 'e', 'g', 'e', 'r', 'e', 'g', 'e', 'e']]"
7986,geji,ge + ji,"[['g', 'e'], ['j', 'i']]"
7987,gekpe,ge + kpe,"[['g', 'e'], ['kp', 'e']]"
7988,gemili,gemili,"[['g', 'e', 'm', 'i', 'l', 'i']]"
7989,gen,gen,"[['g', 'e', 'n']]"
7990,gender,gender,"[['g', 'e', 'n', 'd', 'e', 'r']]"
7991,gender-based,gender + - + based,"[['g', 'e', 'n', 'd', 'e', 'r'], ['-'], ['b', 'a', 's', 'e', 'd']]"
7992,general,general,"[['g', 'e', 'n', 'e', 'r', 'a', 'l']]"
7993,generalụ,generalụ,"[['g', 'e', 'n', 'e', 'r', 'a', 'l', 'ụ']]"
7994,generation,generation,"[['g', 'e', 'n', 'e', 'r', 'a', 't', 'i', 'o', 'n']]"
7995,generations,generations,"[['g', 'e', 'n', 'e', 'r', 'a', 't', 'i', 'o', 'n', 's']]"
7996,generator,generator,"[['g', 'e', 'n', 'e', 'r', 'a', 't', 'o', 'r']]"
7997,genesis,genesis,"[['g', 'e', 'n', 'e', 's', 'i', 's']]"
7998,genevieve,genevieve,"[['g', 'e', 'n', 'e', 'v', 'i', 'e', 'v', 'e']]"
7999,gengem,gengem,"[['g', 'e', 'n', 'g', 'e', 'm']]"
8000,genital,genital,"[['g', 'e', 'n', 'i', 't', 'a', 'l']]"
8001,genius,genius,"[['g', 'e', 'n', 'i', 'u', 's']]"
8002,genk,genk,"[['g', 'e', 'n', 'k']]"
8003,gentlegiantdido,gentlegiantdido,"[['g', 'e', 'n', 't', 'l', 'e', 'g', 'i', 'a', 'n', 't', 'd', 'i', 'd', 'o']]"
8004,gentleojay,gentleojay,"[['g', 'e', 'n', 't', 'l', 'e', 'o', 'j', 'a', 'y']]"
8005,geoffery,geoffery,"[['g', 'e', 'o', 'f', 'f', 'e', 'r', 'y']]"
8006,geoffrey,geoffrey,"[['g', 'e', 'o', 'f', 'f', 'r', 'e', 'y']]"
8007,geofrey,geofrey,"[['g', 'e', 'o', 'f', 'r', 'e', 'y']]"
8008,geography-c,geography-c,"[['g', 'e', 'o', 'g', 'r', 'a', 'p', 'h', 'y', '-', 'c']]"
8009,george,george,"[['g', 'e', 'o', 'r', 'g', 'e']]"
8010,georgetown,georgetown,"[['g', 'e', 'o', 'r', 'g', 'e', 't', 'o', 'w', 'n']]"
8011,georgia,georgia,"[['g', 'e', 'o', 'r', 'g', 'i', 'a']]"
8012,georgieva-bụ,georgieva + - + bụ,"[['g', 'e', 'o', 'r', 'g', 'i', 'e', 'v', 'a'], ['-'], ['b', 'ụ']]"
8013,georginio,georginio,"[['g', 'e', 'o', 'r', 'g', 'i', 'n', 'i', 'o']]"
8014,geovani,geovani,"[['g', 'e', 'o', 'v', 'a', 'n', 'i']]"
8015,gerald,gerald,"[['g', 'e', 'r', 'a', 'l', 'd']]"
8016,gerard,gerard,"[['g', 'e', 'r', 'a', 'r', 'd']]"
8017,gere,ge + re,"[['g', 'e'], ['r', 'e']]"
8018,geregu,geregu,"[['g', 'e', 'r', 'e', 'g', 'u']]"
8019,gerizim,gerizim,"[['g', 'e', 'r', 'i', 'z', 'i', 'm']]"
8020,germain,germain,"[['g', 'e', 'r', 'm', 'a', 'i', 'n']]"
8021,german,german,"[['g', 'e', 'r', 'm', 'a', 'n']]"
8022,germana,germana,"[['g', 'e', 'r', 'm', 'a', 'n', 'a']]"
8023,germanwings,germanwings,"[['g', 'e', 'r', 'm', 'a', 'nw', 'i', 'n', 'g', 's']]"
8024,germany,germany,"[['g', 'e', 'r', 'm', 'a', 'ny']]"
8025,gernot,gernot,"[['g', 'e', 'r', 'n', 'o', 't']]"
8026,gerry,gerry,"[['g', 'e', 'r', 'r', 'y']]"
8027,gerịta,ge + rị + ta,"[['g', 'e'], ['r', 'ị'], ['t', 'a']]"
8028,gesha,gesha,"[['g', 'e', 'sh', 'a']]"
8029,get,get,"[['g', 'e', 't']]"
8030,getso,getso,"[['g', 'e', 't', 's', 'o']]"
8031,getty,getty,"[['g', 'e', 't', 't', 'y']]"
8032,gewe,ge + we,"[['g', 'e'], ['w', 'e']]"
8033,gff,gff,"[['g', 'f', 'f']]"
8034,ggstc,ggstc,"[['g', 'g', 's', 't', 'c']]"
8035,ghaa,gha + a,"[['gh', 'a'], ['a']]"
8036,ghaara,gha + a + ra,"[['gh', 'a'], ['a'], ['r', 'a']]"
8037,ghachiri,gha + chi + ri,"[['gh', 'a'], ['ch', 'i'], ['r', 'i']]"
8038,ghafari,gha + fa + ri,"[['gh', 'a'], ['f', 'a'], ['r', 'i']]"
8039,ghagbuchara,gha + gbu + cha + ra,"[['gh', 'a'], ['gb', 'u'], ['ch', 'a'], ['r', 'a']]"
8040,ghagburu,gha + gbu + ru,"[['gh', 'a'], ['gb', 'u'], ['r', 'u']]"
8041,ghaghị,gha + ghị,"[['gh', 'a'], ['gh', 'ị']]"
8042,ghagidere,gha + gide + re,"[['gh', 'a'], ['g', 'i', 'd', 'e'], ['r', 'e']]"
8043,ghana,ghana,"[['gh', 'a', 'n', 'a']]"
8044,ghanaa,ghana + a,"[['gh', 'a', 'n', 'a'], ['a']]"
8045,ghanem,ghanem,"[['gh', 'a', 'n', 'e', 'm']]"
8046,ghani,ghani,"[['gh', 'a', 'n', 'i']]"
8047,ghara,gha + ra,"[['gh', 'a'], ['r', 'a']]"
8048,gharakwa,gha + ra + kwa,"[['gh', 'a'], ['r', 'a'], ['kw', 'a']]"
8049,gharazie,gha + ra + zi + e,"[['gh', 'a'], ['r', 'a'], ['z', 'i'], ['e']]"
8050,gharazị,gha + ra + zị,"[['gh', 'a'], ['r', 'a'], ['z', 'ị']]"
8051,ghari,gha + ri,"[['gh', 'a'], ['r', 'i']]"
8052,gharii,gha + ri + i,"[['gh', 'a'], ['r', 'i'], ['i']]"
8053,gharizie,gha + ri + zi + e,"[['gh', 'a'], ['r', 'i'], ['z', 'i'], ['e']]"
8054,ghariị,gha + ri + ị,"[['gh', 'a'], ['r', 'i'], ['ị']]"
8055,gharị,gha + rị,"[['gh', 'a'], ['r', 'ị']]"
8056,gharịi,gha + rị + i,"[['gh', 'a'], ['r', 'ị'], ['i']]"
8057,gharịpụrụ,gha + rị + pụ + rụ,"[['gh', 'a'], ['r', 'ị'], ['p', 'ụ'], ['r', 'ụ']]"
8058,gharịị,gha + rị + ị,"[['gh', 'a'], ['r', 'ị'], ['ị']]"
8059,ghasa,gha + sa,"[['gh', 'a'], ['s', 'a']]"
8060,ghasaa,gha + sa + a,"[['gh', 'a'], ['s', 'a'], ['a']]"
8061,ghasaara,gha + sa + a + ra,"[['gh', 'a'], ['s', 'a'], ['a'], ['r', 'a']]"
8062,ghasara,gha + sa + ra,"[['gh', 'a'], ['s', 'a'], ['r', 'a']]"
8063,ghasasiri,gha + sa + si + ri,"[['gh', 'a'], ['s', 'a'], ['s', 'i'], ['r', 'i']]"
8064,ghasasịa,gha + sa + sị + a,"[['gh', 'a'], ['s', 'a'], ['s', 'ị'], ['a']]"
8065,ghasasịrị,gha + sa + sị + rị,"[['gh', 'a'], ['s', 'a'], ['s', 'ị'], ['r', 'ị']]"
8066,ghe,ghe,"[['gh', 'e']]"
8067,ghebe,ghe + be,"[['gh', 'e'], ['b', 'e']]"
8068,ghechara,ghe + cha + ra,"[['gh', 'e'], ['ch', 'a'], ['r', 'a']]"
8069,ghee,ghe + e,"[['gh', 'e'], ['e']]"
8070,gheere,ghe + e + re,"[['gh', 'e'], ['e'], ['r', 'e']]"
8071,ghekpọọ,ghe + kpọ + ọ,"[['gh', 'e'], ['kp', 'ọ'], ['ọ']]"
8072,ghekọchazie,ghe + kọ + cha + zi + e,"[['gh', 'e'], ['k', 'ọ'], ['ch', 'a'], ['z', 'i'], ['e']]"
8073,ghere,ghe + re,"[['gh', 'e'], ['r', 'e']]"
8074,ghetto,ghetto,"[['gh', 'e', 't', 't', 'o']]"
8075,ghewe,ghe + we,"[['gh', 'e'], ['w', 'e']]"
8076,ghor,ghor,"[['gh', 'o', 'r']]"
8077,ghosn,ghosn,"[['gh', 'o', 's', 'n']]"
8078,ghost,ghost,"[['gh', 'o', 's', 't']]"
8079,ghunyere,ghu + nye + re,"[['gh', 'u'], ['ny', 'e'], ['r', 'e']]"
8080,ghị,ghị,"[['gh', 'ị']]"
8081,ghịghaa,ghịgha + a,"[['gh', 'ị', 'gh', 'a'], ['a']]"
8082,ghọgbu,ghọ + gbu,"[['gh', 'ọ'], ['gb', 'u']]"
8083,ghọgbue,ghọ + gbu + e,"[['gh', 'ọ'], ['gb', 'u'], ['e']]"
8084,ghọgbuo,ghọ + gbu + o,"[['gh', 'ọ'], ['gb', 'u'], ['o']]"
8085,ghọgburu,ghọ + gbu + ru,"[['gh', 'ọ'], ['gb', 'u'], ['r', 'u']]"
8086,ghọgbụ,ghọ + gbụ,"[['gh', 'ọ'], ['gb', 'ụ']]"
8087,ghọgbụo,ghọ + gbụ + ọ,"[['gh', 'ọ'], ['gb', 'ụ'], ['ọ']]"
8088,ghọghachi,ghọ + gha + chi,"[['gh', 'ọ'], ['gh', 'a'], ['ch', 'i']]"
8089,ghọghachiri,ghọ + gha + chi + ri,"[['gh', 'ọ'], ['gh', 'a'], ['ch', 'i'], ['r', 'i']]"
8090,ghọkarịrị,ghọ + ka + rị + rị,"[['gh', 'ọ'], ['k', 'a'], ['r', 'ị'], ['r', 'ị']]"
8091,ghọkwara,ghọ + kwa + ra,"[['gh', 'ọ'], ['kw', 'a'], ['r', 'a']]"
8092,ghọpụta,ghọ + pụ + ta,"[['gh', 'ọ'], ['p', 'ụ'], ['t', 'a']]"
8093,ghọrịa,ghọ + rị + a,"[['gh', 'ọ'], ['r', 'ị'], ['a']]"
8094,ghọrọ,ghọ + rọ,"[['gh', 'ọ'], ['r', 'ọ']]"
8095,ghọrọm,ghọ + rọ + m,"[['gh', 'ọ'], ['r', 'ọ'], ['m']]"
8096,ghọrọzie,ghọ + rọ + zi + e,"[['gh', 'ọ'], ['r', 'ọ'], ['z', 'i'], ['e']]"
8097,ghọta,ghọ + ta,"[['gh', 'ọ'], ['t', 'a']]"
8098,ghọtachaa,ghọ + ta + cha + a,"[['gh', 'ọ'], ['t', 'a'], ['ch', 'a'], ['a']]"
8099,ghọtaghiere,ghọ + ta + ghie + re,"[['gh', 'ọ'], ['t', 'a'], ['gh', 'i', 'e'], ['r', 'e']]"
8100,ghọtaghị,ghọ + ta + ghị,"[['gh', 'ọ'], ['t', 'a'], ['gh', 'ị']]"
8101,ghọtahiere,ghọ + ta + hie + re,"[['gh', 'ọ'], ['t', 'a'], ['h', 'i', 'e'], ['r', 'e']]"
8102,ghọtakwa,ghọ + ta + kwa,"[['gh', 'ọ'], ['t', 'a'], ['kw', 'a']]"
8103,ghọtakwara,ghọ + ta + kwa + ra,"[['gh', 'ọ'], ['t', 'a'], ['kw', 'a'], ['r', 'a']]"
8104,ghọtakwuo,ghọ + ta + kwu + o,"[['gh', 'ọ'], ['t', 'a'], ['kw', 'u'], ['o']]"
8105,ghọtakwuru,ghọ + ta + kwu + ru,"[['gh', 'ọ'], ['t', 'a'], ['kw', 'u'], ['r', 'u']]"
8106,ghọtanụ,ghọ + ta + nụ,"[['gh', 'ọ'], ['t', 'a'], ['n', 'ụ']]"
8107,ghọtara,ghọ + ta + ra,"[['gh', 'ọ'], ['t', 'a'], ['r', 'a']]"
8108,ghọtatụ,ghọ + ta + tụ,"[['gh', 'ọ'], ['t', 'a'], ['t', 'ụ']]"
8109,ghọtawa,ghọ + ta + wa,"[['gh', 'ọ'], ['t', 'a'], ['w', 'a']]"
8110,ghọtawara,ghọ + ta + wa + ra,"[['gh', 'ọ'], ['t', 'a'], ['w', 'a'], ['r', 'a']]"
8111,ghọtazie,ghọ + ta + zi + e,"[['gh', 'ọ'], ['t', 'a'], ['z', 'i'], ['e']]"
8112,ghọtụla,ghọ + tụ + la,"[['gh', 'ọ'], ['t', 'ụ'], ['l', 'a']]"
8113,ghọzie,ghọ + zi + e,"[['gh', 'ọ'], ['z', 'i'], ['e']]"
